,date,shakes
703,1390/8/7,25953.3
704,1390/8/8,25911.3
705,1390/8/9,25910.0
706,1390/8/10,25924.9
707,1390/8/11,26001.5
708,1390/8/14,25874.2
709,1390/8/15,25589.5
710,1390/8/17,25328.6
711,1390/8/18,25394.2
712,1390/8/21,25462.7
713,1390/8/22,25372.6
714,1390/8/23,25366.6
715,1390/8/25,25366.4
716,1390/8/28,25366.7
717,1390/8/29,25298.3
718,1390/8/30,25207.2
719,1390/9/1,24881.0
720,1390/9/2,24568.2
721,1390/9/5,24468.2
722,1390/9/6,24056.4
723,1390/9/7,23977.7
724,1390/9/8,24089.2
725,1390/9/9,24016.5
726,1390/9/12,24116.6
727,1390/9/13,24356.9
728,1390/9/16,24662.6
729,1390/9/19,24688.2
730,1390/9/20,24546.3
731,1390/9/21,24554.9
732,1390/9/22,24618.1
733,1390/9/23,24590.7
734,1390/9/26,24528.3
735,1390/9/27,24604.0
736,1390/9/28,24638.2
737,1390/9/29,24588.5
738,1390/9/30,24494.0
739,1390/10/3,24456.7
740,1390/10/4,24455.1
741,1390/10/5,24377.3
742,1390/10/6,24327.2
743,1390/10/7,24320.8
744,1390/10/10,24403.1
745,1390/10/11,24400.9
746,1390/10/12,24323.7
747,1390/10/13,24507.0
748,1390/10/14,24839.1
749,1390/10/17,24887.9
750,1390/10/18,24854.9
751,1390/10/19,25082.7
752,1390/10/20,25207.4
753,1390/10/21,25440.3
754,1390/10/25,25755.3
755,1390/10/26,25903.4
756,1390/10/27,25692.8
757,1390/10/28,25811.2
758,1390/11/1,25772.3
759,1390/11/3,25620.7
760,1390/11/5,25540.5
761,1390/11/8,25723.0
762,1390/11/9,25931.3
763,1390/11/10,25912.9
764,1390/11/11,25913.8
765,1390/11/12,25878.2
766,1390/11/15,25907.0
767,1390/11/16,25717.6
768,1390/11/17,25579.8
769,1390/11/18,25436.6
770,1390/11/19,25371.7
771,1390/11/23,25320.7
772,1390/11/24,25279.8
773,1390/11/25,24946.4
774,1390/11/26,24829.3
775,1390/11/29,24848.9
776,1390/11/30,24878.3
777,1390/12/1,24923.2
778,1390/12/2,25035.2
779,1390/12/3,25012.6
780,1390/12/6,24936.1
781,1390/12/7,24976.9
782,1390/12/8,25098.4
783,1390/12/9,25244.4
784,1390/12/10,25354.5
785,1390/12/13,25365.5
786,1390/12/14,25417.9
787,1390/12/15,25320.1
788,1390/12/16,25307.9
789,1390/12/17,25400.2
790,1390/12/20,25457.6
791,1390/12/21,25491.1
792,1390/12/22,25300.0
793,1390/12/23,25265.3
794,1390/12/24,25481.5
795,1390/12/27,25607.2
796,1390/12/28,25905.6
797,1391/1/5,26280.5
798,1391/1/6,26502.3
799,1391/1/7,26408.7
800,1391/1/8,26533.0
801,1391/1/9,26576.2
802,1391/1/14,26484.8
803,1391/1/15,26327.0
804,1391/1/16,26300.3
805,1391/1/19,26383.4
806,1391/1/20,26491.8
807,1391/1/21,26482.6
808,1391/1/22,26664.1
809,1391/1/23,26757.8
810,1391/1/26,26896.8
811,1391/1/27,27281.2
812,1391/1/28,27245.6
813,1391/1/29,27185.6
814,1391/1/30,27259.9
815,1391/2/2,27211.7
816,1391/2/3,27169.3
817,1391/2/4,27085.3
818,1391/2/5,27129.9
819,1391/2/9,27010.1
820,1391/2/10,26953.8
821,1391/2/11,26960.0
822,1391/2/12,26969.8
823,1391/2/13,26964.8
824,1391/2/16,26935.7
825,1391/2/17,26932.2
826,1391/2/18,26886.3
827,1391/2/19,26870.5
828,1391/2/20,26871.9
829,1391/2/23,26743.8
830,1391/2/24,26658.0
831,1391/2/25,26715.2
832,1391/2/26,26677.3
833,1391/2/27,26652.6
834,1391/2/30,26652.1
835,1391/2/31,26667.7
836,1391/3/1,26845.8
837,1391/3/2,26912.7
838,1391/3/3,27091.2
839,1391/3/6,26909.5
840,1391/3/7,26905.0
841,1391/3/8,26848.7
842,1391/3/9,26803.6
843,1391/3/10,26755.9
844,1391/3/13,26735.4
845,1391/3/16,26693.0
846,1391/3/17,26635.6
847,1391/3/20,26365.2
848,1391/3/21,26264.8
849,1391/3/22,26411.8
850,1391/3/23,26440.5
851,1391/3/24,26439.1
852,1391/3/27,26406.7
853,1391/3/28,26325.5
854,1391/3/30,26291.8
855,1391/3/31,26165.9
856,1391/4/3,25938.1
857,1391/4/4,25681.1
858,1391/4/5,25558.4
859,1391/4/6,25325.0
860,1391/4/7,25054.6
861,1391/4/10,25170.7
862,1391/4/11,25227.2
863,1391/4/12,25345.5
864,1391/4/13,25438.0
865,1391/4/14,25428.5
866,1391/4/17,25445.5
867,1391/4/18,25354.3
868,1391/4/19,25279.2
869,1391/4/20,25307.5
870,1391/4/21,25388.1
871,1391/4/24,25431.5
872,1391/4/25,25296.1
873,1391/4/26,25159.7
874,1391/4/27,25021.3
875,1391/4/28,25039.2
876,1391/4/31,25021.2
877,1391/5/1,24996.0
878,1391/5/2,25029.5
879,1391/5/3,25094.3
880,1391/5/4,25088.8
881,1391/5/7,25023.3
882,1391/5/8,24747.4
883,1391/5/9,24550.4
884,1391/5/10,24584.0
885,1391/5/11,24546.7
886,1391/5/14,24332.6
887,1391/5/15,24108.5
888,1391/5/16,24001.0
889,1391/5/17,23855.1
890,1391/5/18,23787.3
891,1391/5/21,23957.2
892,1391/5/22,24024.2
893,1391/5/23,24049.7
894,1391/5/24,24102.1
895,1391/5/25,24125.3
896,1391/5/28,24144.7
897,1391/5/31,24279.1
898,1391/6/1,24339.2
899,1391/6/4,24523.2
900,1391/6/5,24586.5
901,1391/6/6,24649.0
902,1391/6/12,24730.1
903,1391/6/13,25055.0
904,1391/6/14,25384.0
905,1391/6/15,25659.9
906,1391/6/18,25791.9
907,1391/6/19,25569.2
908,1391/6/20,25735.1
909,1391/6/21,25889.2
910,1391/6/25,26283.7
911,1391/6/26,26217.2
912,1391/6/27,26470.6
913,1391/6/28,26556.9
914,1391/6/29,26514.5
915,1391/7/1,26875.3
916,1391/7/2,27127.1
917,1391/7/3,27080.7
918,1391/7/4,27440.1
919,1391/7/5,28132.2
920,1391/7/8,28828.7
921,1391/7/9,29207.1
922,1391/7/10,28788.8
923,1391/7/11,28667.1
924,1391/7/12,29098.5
925,1391/7/15,28862.9
926,1391/7/16,28858.6
927,1391/7/17,29014.1
928,1391/7/18,29032.5
929,1391/7/19,28845.7
930,1391/7/22,28557.9
931,1391/7/23,28656.1
932,1391/7/24,28981.3
933,1391/7/25,29248.2
934,1391/7/26,29502.0
935,1391/7/29,29992.6
936,1391/7/30,30211.4
937,1391/8/1,30671.6
938,1391/8/2,30615.7
939,1391/8/3,30749.3
940,1391/8/6,31121.7
941,1391/8/7,31160.1
942,1391/8/8,31221.5
943,1391/8/9,31331.6
944,1391/8/10,31082.4
945,1391/8/14,31205.2
946,1391/8/15,30736.6
947,1391/8/16,30940.3
948,1391/8/17,31282.9
949,1391/8/20,31220.1
950,1391/8/21,31015.6
951,1391/8/22,30978.8
952,1391/8/23,31215.0
953,1391/8/24,31336.4
954,1391/8/27,31260.3
955,1391/8/28,31271.2
956,1391/8/29,31096.5
957,1391/8/30,31140.9
958,1391/9/1,31259.5
959,1391/9/6,31608.9
960,1391/9/7,32018.1
961,1391/9/8,32339.5
962,1391/9/11,32741.5
963,1391/9/12,33113.5
964,1391/9/13,33015.7
965,1391/9/14,33073.4
966,1391/9/15,33282.0
967,1391/9/18,33659.9
968,1391/9/19,33612.6
969,1391/9/20,33760.8
970,1391/9/21,33889.4
971,1391/9/22,33687.0
972,1391/9/25,33949.3
973,1391/9/26,34090.9
974,1391/9/27,34669.5
975,1391/9/28,35106.2
976,1391/9/29,35760.3
977,1391/10/2,36040.5
978,1391/10/3,36829.3
979,1391/10/4,37530.7
980,1391/10/5,37366.4
981,1391/10/6,37798.8
982,1391/10/9,37622.4
983,1391/10/10,37116.3
984,1391/10/11,37860.6
985,1391/10/12,37987.0
986,1391/10/13,37648.5
987,1391/10/17,37059.0
988,1391/10/18,37077.0
989,1391/10/19,37314.9
990,1391/10/20,37441.5
991,1391/10/24,37786.2
992,1391/10/25,38082.8
993,1391/10/26,38322.5
994,1391/10/27,38343.6
995,1391/10/30,37898.8
996,1391/11/1,37627.5
